lemma	pos	attributes
vatan	NOUN	-
yol	NOUN	-
zaman	NOUN	-
açık	ADJ	VOICING
ağır	ADJ	-
bencil	ADJ	-
beyaz	ADJ	-
büyük	ADJ	VOICING
çabuk	ADJ	VOICING
çirkin	ADJ	-
derin	ADJ	-
doğru	ADJ	-
dolu	ADJ	-
düz	ADJ	-
eski	ADJ	-
fakir	ADJ	-
genç	ADJ	VOICING
geniş	ADJ	-
geri	ADJ	-
güzel	ADJ	-
hasta	ADJ	-
hızlı	ADJ	-
ıslak	ADJ	VOICING
ihtiyar	ADJ	-
iyi	ADJ	-
kalın	ADJ	-
kapalı	ADJ	-
kısa	ADJ	-
kızgın	ADJ	-
kolay	ADJ	-
kötü	ADJ	-
kuru	ADJ	-
küçük	ADJ	VOICING
mavi	ADJ	-
mutlu	ADJ	-
pahalı	ADJ	-
pis	ADJ	-
sarı	ADJ	-
sert	ADJ	-
sıcak	ADJ	VOICING
siyah	ADJ	-
soğuk	ADJ	VOICING
taze	ADJ	-
temiz	ADJ	-
ucuz	ADJ	-
uzun	ADJ	-
uzak	ADJ	VOICING
yavaş	ADJ	-
yeni	ADJ	-
yeşil	ADJ	-
zengin	ADJ	-
zor	ADJ	-
Ali	NOUN	-
için	POSTP	-
sonra	ADV	-
kavga	NOUN	-
yarı	NOUN	-
çok	ADJ	VOICING
fark	NOUN	-
söyle	VERB	-
