lemma	pos	attributes
Aristotelesçilik	NOUN	VOICING
Arjantinli	NOUN	-
Arktika	NOUN	-
Armutlu	NOUN	-
Arnavut	NOUN	-
Arnavutköy	NOUN	-
Arnavutlaş	VERB	-
Arnavutlaşma	NOUN	-
Arnavutlaştır	VERB	-
Arnavutlaştırma	NOUN	-
Arnavutluklu	NOUN	-
Arnavutça	ADJ	-
Arnavutça	NOUN	-
Arpaçay	NOUN	-
Arsin	NOUN	-
Artova	NOUN	-
Artuklu	NOUN	-
Artvin	NOUN	-
Artvinli	NOUN	-
Artvinlilik	NOUN	VOICING
Aryanist	NOUN	-
Aryanizm	NOUN	-
Arıcak	NOUN	-
Arıkovanı	NOUN	-
As	NOUN	-
Asarcık	NOUN	-
Asena	NOUN	-
Ashabıkehf	NOUN	-
Aslan	NOUN	-
Aslanapa	NOUN	-
Asurca	ADJ	-
Asurca	NOUN	-
Asya	NOUN	-
Asyalı	ADJ	-
Asyalı	NOUN	-
Asyalılık	NOUN	VOICING
At	NOUN	-
Atabey	NOUN	-
Atakum	NOUN	-
Atatürkçü	ADJ	-
Atatürkçülük	NOUN	VOICING
Ataşehir	NOUN	-
Atkaracalar	NOUN	-
Au	NOUN	-
Avanos	NOUN	-
Avar	NOUN	-
Avarca	ADJ	-
Avarca	NOUN	-
Avcı	NOUN	-
Avcılar	NOUN	-
Avrasya	NOUN	-
Avrupa	NOUN	-
Avrupai	ADJ	-
Avrupailik	NOUN	VOICING
Avrupalı	ADJ	-
Avrupalı	NOUN	-
Avrupalılaş	VERB	-
Avrupalılaşma	NOUN	-
Avrupalılaştır	VERB	-
Avrupalılaştırma	NOUN	-
Avrupalılık	NOUN	VOICING
Avustralya	NOUN	-
Avustralyalı	NOUN	-
Avusturyalı	NOUN	-
Avşar	NOUN	-
Ay	NOUN	-
Ayancık	NOUN	-
Ayaş	NOUN	-
Aybastı	NOUN	-
Aydın	NOUN	-
Aydıncık	NOUN	-
Aydınlar	NOUN	-
Aydınlı	NOUN	-
Aydınlılık	NOUN	VOICING
Aydıntepe	NOUN	-
Ayrancı	NOUN	-
Ayvacık	NOUN	-
Ayvalık	NOUN	-
Az	NOUN	-
Azdavay	NOUN	-
Azerbaycanlı	NOUN	-
Azeri	NOUN	-
Azerice	NOUN	-
Aziziye	NOUN	-
Azrail	NOUN	-
Ağaçören	NOUN	-
Ağlasun	NOUN	-
Ağlı	NOUN	-
Ağrı	NOUN	-
Ağrılı	NOUN	-
Ağrılılık	NOUN	VOICING
Ağın	NOUN	-
Aşkale	NOUN	-
Ba	NOUN	-
Babadağ	NOUN	-
Babaeski	NOUN	-
Babagân	NOUN	-
Babai	NOUN	-
Babailik	NOUN	VOICING
Babalar	NOUN	-
Babayan	NOUN	-
Babi	NOUN	-
Babilik	NOUN	VOICING
Babıali	NOUN	-
Bafra	NOUN	-
Bahai	NOUN	-
Bahailik	NOUN	VOICING
Bahçe	NOUN	-
Bahçelievler	NOUN	-
Bahçesaray	NOUN	-
Bahşılı	NOUN	-
Baklan	NOUN	-
Bakırköy	NOUN	-
Balkanlar	NOUN	-
Balkanolog	NOUN	-
Balkanoloji	NOUN	-
Balkar	NOUN	-
Balkarca	NOUN	-
Baltık	NOUN	-
Balya	NOUN	-
Balâ	NOUN	-
Balçova	NOUN	-
Balık	NOUN	-
Balıkesir	NOUN	-
Balıkesirli	NOUN	-
Balıkesirlilik	NOUN	VOICING
Balışeyh	NOUN	-
Banaz	NOUN	-
Bandırma	NOUN	-
Bangladeşli	NOUN	-
Barak	NOUN	-
Bartın	NOUN	-
Bartınlı	NOUN	-
Bartınlılık	NOUN	VOICING
Baskil	NOUN	-
Baskça	ADJ	-
Baskça	NOUN	-
Batman	NOUN	-
Batmanlı	NOUN	-
Batmanlılık	NOUN	VOICING
Battalgazi	NOUN	-
Batı	ADJ	-
Batı	NOUN	-
Batıcı	ADJ	-
Batıcılık	NOUN	VOICING
Batılı	ADJ	-
Batılı	NOUN	-
Batılıca	ADJ	-
Batılılaş	VERB	-
Batılılaşabil	VERB	-
Batılılaşabilme	NOUN	-
Batılılaşabilmek	NOUN	-
Batılılaşma	NOUN	-
Batılılaşmacı	ADJ	-
Batılılaşmacılık	NOUN	VOICING
Batılılaşmak	NOUN	-
Batılılaştır	VERB	-
Batılılaştırma	NOUN	-
Batılılaştırıl	VERB	-
Batılılaştırılma	NOUN	-
Batılılık	NOUN	VOICING
Bayat	NOUN	-
Bayburt	NOUN	-
Bayburtlu	NOUN	-
Bayburtluluk	NOUN	VOICING
Baykan	NOUN	-
Bayraklı	NOUN	-
Bayrami	NOUN	-
Bayramilik	NOUN	VOICING
Bayramiç	NOUN	-
Bayrampaşa	NOUN	-
Bayramören	NOUN	-
Bayındır	NOUN	-
Bağcılar	NOUN	-
Bağdat	NOUN	-
Bağlar	NOUN	-
Başak	NOUN	-
Başakşehir	NOUN	-
Başiskele	NOUN	-
Başkale	NOUN	-
Başkurt	NOUN	-
Başkurtça	NOUN	-
Başmakçı	NOUN	-
Başyayla	NOUN	-
Başçiftlik	NOUN	-
Be	NOUN	-
Beberuhi	NOUN	-
Bedevi	NOUN	-
Bedevilik	NOUN	VOICING
Begdili	NOUN	-
Bekilli	NOUN	-
Bektaşi	NOUN	-
Bektaşilik	NOUN	VOICING
Belen	NOUN	-
Belçikalı	NOUN	-
Berberi	NOUN	-
Berberice	ADJ	-
Berberice	NOUN	-
Bergama	NOUN	-
Besni	NOUN	-
Beyağaç	NOUN	-
Beydağ	NOUN	-
Beykoz	NOUN	-
Beylikdüzü	NOUN	-
Beylikova	NOUN	-
Beyoğlu	NOUN	-
Beypazarı	NOUN	-
Beytüşşebap	NOUN	-
Beyşehir	NOUN	-
Beçene	NOUN	-
Beşikdüzü	NOUN	-
Beşiktaş	NOUN	-
Beşiri	NOUN	-
Bh	NOUN	-
Bi	NOUN	-
Biga	NOUN	-
Bigadiç	NOUN	-
Bilecik	NOUN	-
Bilecikli	NOUN	-
Bileciklilik	NOUN	VOICING
Bingöl	NOUN	-
Bingöllü	NOUN	-
Bingöllülük	NOUN	VOICING
Birecik	NOUN	-
Birmanca	ADJ	-
Birmanca	NOUN	-
Bismil	NOUN	-
Bitlis	NOUN	-
Bitlisli	NOUN	-
Bitlislilik	NOUN	VOICING
Bk	NOUN	-
Bodrum	NOUN	-
Bolivyalı	NOUN	-
Bolu	NOUN	-
Bolulu	NOUN	-
Bolululuk	NOUN	VOICING
Bolvadin	NOUN	-
Bolşevik	NOUN	VOICING
Bolşeviklik	NOUN	VOICING
Bolşevizm	NOUN	-
Bor	NOUN	-
Bornova	NOUN	-
Borçka	NOUN	-
Boyabat	NOUN	-
Bozcaada	NOUN	-
Bozdoğan	NOUN	-
Bozkurt	NOUN	-
Bozkır	NOUN	-
Bozova	NOUN	-
Boztepe	NOUN	-
Bozyazı	NOUN	-
Bozüyük	NOUN	-
Boğa	NOUN	-
Boğazkale	NOUN	-
Boğazlıyan	NOUN	-
Boşnak	NOUN	-
Boşnaklık	NOUN	VOICING
Boşnakça	ADJ	-
Boşnakça	NOUN	-
Br	NOUN	-
Brahman	NOUN	-
Brahmanizm	NOUN	-
Brahmanlık	NOUN	VOICING
Brezilyalı	NOUN	-
Buca	NOUN	-
Bucak	NOUN	-
Budist	NOUN	-
Budistlik	NOUN	VOICING
Budizm	NOUN	-
Buharkent	NOUN	-
Bulancak	NOUN	-
Bulanık	NOUN	-
Buldan	NOUN	-
Bulgar	NOUN	-
Bulgarca	ADJ	-
Bulgarca	NOUN	-
Bulgaristanlı	NOUN	-
Bulgurlu	NOUN	-
Burak	NOUN	-
Burdur	NOUN	-
Burdurlu	NOUN	-
Burdurluluk	NOUN	VOICING
Burhaniye	NOUN	-
Bursa	NOUN	-
Bursalı	NOUN	-
Bursalılık	NOUN	VOICING
Burundili	NOUN	-
Bâtıni	NOUN	-
Bâtınilik	NOUN	VOICING
Bâtıniye	NOUN	-
Bügdüz	NOUN	-
Bünyan	NOUN	-
Büyükayı	NOUN	-
Büyükorhan	NOUN	-
Büyükçekmece	NOUN	-
Ca	NOUN	-
Caferi	NOUN	-
Caferilik	NOUN	VOICING
Canik	NOUN	-
Cb	NOUN	-
Cd	NOUN	-
Ce	NOUN	-
Cebbar	NOUN	-
Cebrail	NOUN	-
Cedi	NOUN	-
Celâli	NOUN	-
Celâlilik	NOUN	VOICING
Cenabıallah	NOUN	-
Cenabıhak	NOUN	-
Cenubi	ADJ	-
Cenubi	NOUN	-
Cenup	NOUN	VOICING
Cenuplu	ADJ	-
Cermen	NOUN	-
Cermence	ADJ	-
Cermence	NOUN	-
Cevza	NOUN	-
Ceyhan	NOUN	-
Ceylânpınar	NOUN	-
Cezayirli	NOUN	-
Cf	NOUN	-
Cide	NOUN	-
Cihanbeyli	NOUN	-
Cizre	NOUN	-
Cl	NOUN	-
Cm	NOUN	-
Co	NOUN	-
Cr	NOUN	-
Cs	NOUN	-
Cu	NOUN	-
Cumayeri	NOUN	-
Dadacı	NOUN	-
Dadacılık	NOUN	VOICING
Dadaist	ADJ	-
Dadaizm	NOUN	-
Daday	NOUN	-
Dalaman	NOUN	-
Damal	NOUN	-
Danca	ADJ	-
Danca	NOUN	-
Danimarkalı	NOUN	-
Darende	NOUN	-
Dargeçit	NOUN	-
Darvinci	ADJ	-
Darvincilik	NOUN	VOICING
Darıca	NOUN	-
Datça	NOUN	-
Dazkırı	NOUN	-
Dağıstanlı	NOUN	-
Db	NOUN	-
Deccal	NOUN	-
Defne	NOUN	-
Dekartçı	ADJ	-
Dekartçı	NOUN	-
Dekartçılık	NOUN	VOICING
Delice	NOUN	-
Demirci	NOUN	-
Demirkazık	NOUN	-
Demirköy	NOUN	-
Demirperde	NOUN	-
Demirözü	NOUN	-
Demokles	NOUN	-
Demre	NOUN	-
Denizli	NOUN	-
Denizlili	NOUN	-
Denizlililik	NOUN	VOICING
Derbent	NOUN	-
Derebucak	NOUN	-
Derecik	NOUN	-
Dereli	NOUN	-
Derepazarı	NOUN	-
Derik	NOUN	-
Derince	NOUN	-
Derinkuyu	NOUN	-
Dernekpazarı	NOUN	-
Develi	NOUN	-
Devrek	NOUN	-
Devrekâni	NOUN	-
Dicle	NOUN	-
Didim	NOUN	-
Digor	NOUN	-
Dikili	NOUN	-
Dikmen	NOUN	-
Dilovası	NOUN	-
Dimyat	NOUN	-
Dinar	NOUN	-
Dingo	NOUN	-
Divanhane	NOUN	-
Divanıhümayun	NOUN	-
Divriği	NOUN	-
Diyadin	NOUN	-
Diyarbakır	NOUN	-
Diyarbakırlı	NOUN	-
Diyarbakırlılık	NOUN	VOICING
Dodurga	NOUN	-
Dolgan	NOUN	-
Dolganca	NOUN	-
Domaniç	NOUN	-
Doğanhisar	NOUN	-
Doğankent	NOUN	-
Doğanyol	NOUN	-
Doğanyurt	NOUN	-
Doğanşar	NOUN	-
Doğanşehir	NOUN	-
Doğu	ADJ	-
Doğu	NOUN	-
Doğubayazıt	NOUN	-
Doğucu	NOUN	-
Doğuculuk	NOUN	VOICING
Doğulu	ADJ	-
Doğulu	NOUN	-
Doğuluca	ADJ	-
Doğululaş	VERB	-
Doğululaşma	NOUN	-
Doğululaştır	VERB	-
Doğululaştırma	NOUN	-
Doğululuk	NOUN	VOICING
Ds	NOUN	-
Dulkadiroğlu	NOUN	-
Duma	NOUN	-
Dumlupınar	NOUN	-
Durağan	NOUN	-
Dursunbey	NOUN	-
Dy	NOUN	-
Döger	NOUN	-
Dörtdivan	NOUN	-
Dörtyol	NOUN	-
Döşemealtı	NOUN	-
Dübbüasgar	NOUN	-
Dübbüekber	NOUN	-
Düldül	NOUN	-
Dünya	NOUN	-
Dürzi	NOUN	-
Düzce	NOUN	-
Düzceli	NOUN	-
Düzcelilik	NOUN	VOICING
Düziçi	NOUN	-
Düzköy	NOUN	-
Ebussuut	NOUN	-
Eceabat	NOUN	-
Edi	NOUN	-
Edirne	NOUN	-
Edirnekâri	NOUN	-
Edirneli	NOUN	-
Edirnelilik	NOUN	VOICING
Edremit	NOUN	-
Efeler	NOUN	-
Eflâni	NOUN	-
Ekinözü	NOUN	-
Ekvator	NOUN	-
Ekvatoral	ADJ	-
Elbeyli	NOUN	-
Elbistan	NOUN	-
Eldivan	NOUN	-
Eleşkirt	NOUN	-
Elmadağ	NOUN	-
Elmalı	NOUN	-
Elâzığ	NOUN	-
Elâzığlı	NOUN	-
Elâzığlılık	NOUN	VOICING
Emet	NOUN	-
Eminönü	NOUN	-
Emirdağ	NOUN	-
Emirgazi	NOUN	-
Enam	NOUN	-
Endonezyalı	NOUN	-
Enez	NOUN	-
Epikurosçu	ADJ	-
Epikurosçuluk	NOUN	VOICING
Epikürcü	ADJ	-
Epikürcülük	NOUN	VOICING
Er	NOUN	-
Erbaa	NOUN	-
Erciş	NOUN	-
Erdek	NOUN	-
Erdemli	NOUN	-
Erendiz	NOUN	-
Erenler	NOUN	-
Ereğli	NOUN	-
Erfelek	NOUN	-
Ergani	NOUN	-
Ergene	NOUN	-
Ermenek	NOUN	-
Ermeni	NOUN	-
Ermenice	ADJ	-
Ermenice	NOUN	-
Ermenistanlı	NOUN	-
Eros	NOUN	-
Eruh	NOUN	-
Erzin	NOUN	-
Erzincan	NOUN	-
Erzincanlı	NOUN	-
Erzincanlılık	NOUN	VOICING
Erzurum	NOUN	-
Erzurumlu	NOUN	-
Erzurumluluk	NOUN	VOICING
Es	NOUN	-
Esenler	NOUN	-
Esenyurt	NOUN	-
Eskil	NOUN	-
Eskimo	NOUN	-
Eskimoca	ADJ	-
Eskimoca	NOUN	-
Eskipazar	NOUN	-
Eskişehir	NOUN	-
Eskişehirli	NOUN	-
Eskişehirlilik	NOUN	VOICING
Esperanto	NOUN	-
Esperantocu	NOUN	-
Espiye	NOUN	-
Eti	NOUN	-
Etimesgut	NOUN	-
Etiyopyalı	NOUN	-
Eu	NOUN	-
Evciler	NOUN	-
Evren	NOUN	-
Eynesil	NOUN	-
Eyyübiye	NOUN	-
Eyüpsultan	NOUN	-
Ezine	NOUN	-
Eğil	NOUN	-
Eğirdir	NOUN	-
Eğmür	NOUN	-
Eşme	NOUN	-
Farisi	NOUN	-
Fars	NOUN	-
Farslaş	VERB	-
Farslaşma	NOUN	-
Farslaştır	VERB	-
Farslaştırma	NOUN	-
Farslaştırıl	VERB	-
Farslaştırılma	NOUN	-
Farsça	ADJ	-
Farsça	NOUN	-
Faslı	NOUN	-
Fatih	NOUN	-
Fatiha	NOUN	-
Fatsa	NOUN	-
Fe	NOUN	-
Feke	NOUN	-
Felemenk	NOUN	-
Felemenkli	NOUN	-
Felemenkçe	ADJ	-
Felemenkçe	NOUN	-
Felâhiye	NOUN	-
Ferizli	NOUN	-
Fethiye	NOUN	-
Filipince	NOUN	-
Filipinli	NOUN	-
Filistinli	NOUN	-
Fin	NOUN	-
Fince	ADJ	-
Fince	NOUN	-
Finike	NOUN	-
Finlandiyalı	NOUN	-
Flaman	NOUN	-
Flamanca	ADJ	-
Flamanca	NOUN	-
Flamenko	NOUN	-
Fm	NOUN	-
Foça	NOUN	-
Fr	NOUN	-
Frankofon	NOUN	-
Fransalı	NOUN	-
Fransız	NOUN	-
Fransızca	ADJ	-
Fransızca	NOUN	-
Fransızlaş	VERB	-
Fransızlaşma	NOUN	-
Fransızlaştır	VERB	-
Fransızlaştırma	NOUN	-
Fransızlık	NOUN	VOICING
Frenk	NOUN	VOICING
Frenkleş	VERB	-
Frenkleşme	NOUN	-
Frenkleştir	VERB	-
Frenkleştirme	NOUN	-
Frenklik	NOUN	VOICING
Frenkçe	ADJ	-
Frenkçe	NOUN	-
Fürs	NOUN	-
Fındıklı	NOUN	-
Ga	NOUN	-
Gabonlu	NOUN	-
Gagavuz	NOUN	-
Gagavuzca	NOUN	-
Ganalı	NOUN	-
Garbi	ADJ	-
Garbi	NOUN	-
Garp	NOUN	-
Garpkâri	ADJ	-
Garplı	ADJ	-
Garplılaş	VERB	-
Garplılaşma	NOUN	-
Garplılaştır	VERB	-
Garplılaştırma	NOUN	-
Garplılaştırıl	VERB	-
Garplılaştırılma	NOUN	-
Garplılık	NOUN	VOICING
Garpçı	ADJ	-
Garpçılık	NOUN	VOICING
Gayya	NOUN	-
Gaziantep	NOUN	-
Gaziantepli	NOUN	-
Gazianteplilik	NOUN	VOICING
Gaziemir	NOUN	-
Gaziosmanpaşa	NOUN	-
Gazipaşa	NOUN	-
Gd	NOUN	-
Ge	NOUN	-
Gebze	NOUN	-
Gediz	NOUN	-
Gelendost	NOUN	-
Gelibolu	NOUN	-
Gemerek	NOUN	-
Gemlik	NOUN	-
Genç	NOUN	-
Gercüş	NOUN	-
Gerede	NOUN	-
Gerger	NOUN	-
Germanist	NOUN	-
Germanistik	NOUN	VOICING
Germanofil	ADJ	-
Germencik	NOUN	-
Gerze	NOUN	-
Gevaş	NOUN	-
Geyve	NOUN	-
Gineli	NOUN	-
Giresun	NOUN	-
Giresunlu	NOUN	-
Giresunluluk	NOUN	VOICING
Giritli	NOUN	-
Gotik	ADJ	-
Gotik	NOUN	-
Gotlar	NOUN	-
Gotça	ADJ	-
Gotça	NOUN	-
Grek	NOUN	-
Grekçe	ADJ	-
Grekçe	NOUN	-
Guatemalalı	NOUN	-
Göksun	NOUN	-
Göktürk	NOUN	-
Göktürkçe	NOUN	-
Gökyolu	NOUN	-
Gökçeada	NOUN	-
Gökçebey	NOUN	-
Gölbaşı	NOUN	-
Gölcük	NOUN	-
Göle	NOUN	-
Gölhisar	NOUN	-
Gölköy	NOUN	-
Gölmarmara	NOUN	-
Gölova	NOUN	-
Gölpazarı	NOUN	-
Gölyaka	NOUN	-
Gömeç	NOUN	-
Gönen	NOUN	-
Gördes	NOUN	-
Görele	NOUN	-
Göynücek	NOUN	-
Göynük	NOUN	-
Güce	NOUN	-
Güdül	NOUN	-
Gülağaç	NOUN	-
Gülnar	NOUN	-
Gülyalı	NOUN	-
Gülşehir	NOUN	-
Gümüşhacıköy	NOUN	-
Gümüşhane	NOUN	-
Gümüşhaneli	NOUN	-
Gümüşhanelilik	NOUN	VOICING
Gümüşova	NOUN	-
Gündoğmuş	NOUN	-
Güney	ADJ	-
Güney	NOUN	-
Güneybalığı	NOUN	-
Güneyli	ADJ	-
Güneyli	NOUN	-
Güneysu	NOUN	-
Güneysınır	NOUN	-
Güneş	NOUN	-
Güngören	NOUN	-
Günyüzü	NOUN	-
Gürcistanlı	NOUN	-
Gürcü	NOUN	-
Gürcüce	ADJ	-
Gürcüce	NOUN	-
Gürgentepe	NOUN	-
Güroymak	NOUN	-
Gürpınar	NOUN	-
Gürsu	NOUN	-
Gürün	NOUN	-
Güzelbahçe	NOUN	-
Güzelyurt	NOUN	-
Güçlükonak	NOUN	-
Ha	NOUN	-
Habeş	NOUN	-
Habeşî	NOUN	-
Hacivat	NOUN	-
Hacıbektaş	NOUN	-
Hacılar	NOUN	-
Hacılaryolu	NOUN	-
Hacıyolu	NOUN	-
Hadim	NOUN	-
Hafik	NOUN	-
Hak	NOUN	-
Hakas	NOUN	-
Hakasça	NOUN	-
Hakkâri	NOUN	-
Hakkârili	NOUN	-
Hakkârililik	NOUN	VOICING
Halaç	NOUN	-
Halaçça	NOUN	-
Halfeti	NOUN	-
Halik	NOUN	-
Haliliye	NOUN	-
Halkapınar	NOUN	-
Halveti	NOUN	-
Hamamözü	NOUN	-
Hamel	NOUN	-
Hamur	NOUN	-
Han	NOUN	-
Hanak	NOUN	-
Hanbeli	NOUN	-
Hanbelilik	NOUN	VOICING
Hanefi	NOUN	-
Hanefilik	NOUN	VOICING
Hani	NOUN	-
Hanya	NOUN	-
Hanönü	NOUN	-
Haremeyn	NOUN	-
Harezmce	NOUN	-
Harmancık	NOUN	-
Harran	NOUN	-
Hasanbeyli	NOUN	-
Hasankeyf	NOUN	-
Hasköy	NOUN	-
Hassa	NOUN	-
Hatay	NOUN	-
Hataylı	NOUN	-
Hataylılık	NOUN	VOICING
Havran	NOUN	-
Havsa	NOUN	-
Havva	NOUN	-
Havza	NOUN	-
Haymana	NOUN	-
Hayrabolu	NOUN	-
Hayrat	NOUN	-
Hayta	NOUN	-
Hazar	NOUN	-
Hazarca	NOUN	-
Hazro	NOUN	-
Haçlı	NOUN	-
Haçlılar	NOUN	-
He	NOUN	-
Hekimhan	NOUN	-
Helen	NOUN	-
Helenist	ADJ	-
Helenist	NOUN	-
Helenistik	ADJ	-
Helenistik	NOUN	-
Helenizm	NOUN	-
Hemşin	NOUN	-
Hendek	NOUN	-
Hf	NOUN	-
Hg	NOUN	-
Hilvan	NOUN	-
Hindistanlı	NOUN	-
Hindolog	NOUN	-
Hindoloji	NOUN	-
Hindolojik	ADJ	-
Hindu	NOUN	-
Hinduizm	NOUN	-
Hint	NOUN	-
Hintli	NOUN	-
Hintçe	ADJ	-
Hintçe	NOUN	-
Hisarcık	NOUN	-
Hitit	NOUN	-
Hititolog	NOUN	-
Hititoloji	NOUN	-
Hititçe	ADJ	-
Hititçe	NOUN	-
Hitlerci	ADJ	-
Hitlercilik	NOUN	VOICING
Hizan	NOUN	-
Ho	NOUN	-
Hocalar	NOUN	-
Hollandaca	ADJ	-
Hollandaca	NOUN	-
Hollandalı	NOUN	-
Honaz	NOUN	-
Honduraslı	NOUN	-
Hopa	NOUN	-
Horasan	NOUN	-
Horasanca	NOUN	-
Hotanto	NOUN	-
Hozat	NOUN	-
Hristiyan	NOUN	-
Hristiyanlaş	VERB	-
Hristiyanlaşma	NOUN	-
Hristiyanlaştır	VERB	-
Hristiyanlaştırma	NOUN	-
Hristiyanlık	NOUN	VOICING
Hs	NOUN	-
Hu	NOUN	-
Hurufi	NOUN	-
Hurufilik	NOUN	VOICING
Hüda	NOUN	-
Hüma	NOUN	-
Hüyük	NOUN	-
Hıdırellez	NOUN	-
Hınıs	NOUN	-
Hırvat	NOUN	-
Hırvatça	ADJ	-
Hırvatça	NOUN	-
